id,branchcode,clientcode,date,arnumber,amount,remarks,printedby,printeddatetime
9,TAN,S10052021-004417,2026-05-10,AR-2026-0007,174,"",RAlberca,"05/10/2026, 07:18 PM"
8,TAN,S10052021-004417,2026-05-08,AR-2026-0006,2000,Test,RAlberca,"05/08/2026, 02:21 PM"
7,BTS,S07022018-001920,2026-04-30,AR-2026-0005,285,Testing,RAlberca,"04/30/2026, 08:34 AM"
6,LGY,512157,2026-04-30,AR-2026-0004,1600,Testing,RPorlares,"04/30/2026, 08:03 AM"
5,LGY,S08032023-006451,2026-04-28,AR-2026-0003,21,"",RAlberca,"04/28/2026, 11:13 PM"
4,PNQ,S12232022-008670,2026-04-28,AR-2026-0002,200,"",RAlberca,"04/28/2026, 11:06 AM"
3,MDN,S09092022-006173,2026-04-28,AR-2026-0001,200,Testing,JEspinola,"04/28/2026, 10:21 AM"
