code,name,address,status
GRN,GERONA,"NJ COMMERCIAL BLDG. POBLACION 3, GERONA, TARLAC.",Active
GNG,GINGOOG,"CGJ BUILDING, ZONE 6, BRGY. 19, GINGOOG CITY MISAMIS ORIENTAL",Active
GOA,GOA,"UNIT 3 2ND FLR VMP BLDG., P. OLIVER ST., SAN JUAN EVANGELISTA, GOA, CAMARINES SUR",Active
GUA,GUAGUA,"DTM BUILDING, BARANGAY SAN ROQUE, GUAGUA, PAMPANGA",Active
GTO,GUIGUINTO,"#369 2ND FLR E. CATINDIG ST. MC. ARTHUR HI-WAY BRGY. POBLACION GUIGUINTO, BULACAN",Active
GMB,GUIMBA,"UNIT 2B SECOND FLOOR LUMIQUED BLDG. CORNER AFAN SALVADOR AND BAGAIN ST. GUIMBA NUEVA ECIJA",Active
GUM,GUMACA,"M.L. QUEZON ST, RIZAL, GUMACA, QUEZON",Active
IBA,IBA,"UNIT 5 ACM  BLDG III, 1ST FLOOR PALANGINAN, IBA, ZAMBALES",Active
ILA,ILAGAN,"GROUND FLOOR EL NISSI BLDG, CALAMAGUI 2ND ILAGAN ISABELA",Active
ILO,ILOILO,"DOOR 2, LBS BLDG, JALANDONI ST,.CORNER DELGADO, ILOILO CITY",Active
IRG,IRIGA,"GROUND FLOOR LT BLDG. GONZALES ST. SAN FRANCISCO IRIGA CITY",Active
IRS,IROSIN,"DOOR 1 G/F WM BLDG. CM RECTO ST. BRGY. SAN JULIAN, IROSIN, SORSOGON",Active
JGN,JAGNA,"NATIONAL HIGHWAY, BRGY. CAN-UPAO, JAGNA, BOHOL",Active
KBN,KABANKALAN,"THE CROSSING - DOOR 1, NO. 12, GUANZON ST., KABANKALAN CITY",Active
KDP,KIDAPAWAN,"2ND FLOOR LIBRADO MALICSE BLDG. PERIMETER AREA, DAYAO STREET, POBLACION, KIDAPAWAN CITY, NORTH COTABATO",Active
KRN,KORONADAL,"149 SALANGA BLDG MORALES AVENUE BRGY GPS KORONADAL SOUTH COTABATO",Active
